,time,steps,episodes,episode_steps,learning_agent_steps,episode_reward,mean_episode_reward,median_episode_reward,win_state,policy_iteration
0,116.6364853143692,467959,228,1717,849,10.499999999999993,10.89999999999999,10.099999999999989,2,7
0,117.18437226215998,470024,229,2065,1028,13.199999999999974,10.933663366336624,10.09999999999999,2,7
0,117.7329028725624,471991,230,1967,983,13.299999999999978,10.811881188118804,10.09999999999999,2,7
0,118.61973266601562,475300,231,3309,1611,16.99999999999997,10.884158415841574,10.099999999999994,0,7
0,118.97736773093541,476672,232,1372,682,9.599999999999993,10.930693069306919,10.099999999999994,2,7
0,119.56629774570465,478779,233,2107,1055,13.599999999999977,10.866336633663355,10.099999999999994,2,7
0,120.0272682706515,480639,234,1860,916,10.299999999999992,10.881188118811867,10.299999999999988,2,7
0,120.49505619208018,482517,235,1878,940,11.199999999999985,10.84257425742573,10.299999999999988,2,7
0,120.87371762196223,484021,236,1504,755,9.199999999999994,10.844554455445532,10.299999999999988,2,7
0,121.21196358203888,485393,237,1372,671,8.599999999999998,10.767326732673256,10.099999999999994,2,7
0,122.13583829402924,488992,238,3599,1766,13.599999999999968,10.77227722772276,10.099999999999994,1,7
0,122.58273598750432,490616,239,1624,798,8.799999999999992,10.759405940594048,10.09999999999999,2,7
0,122.92904453674952,491955,240,1339,654,9.499999999999991,10.734653465346524,10.099999999999989,2,7
0,123.81433106263479,495219,241,3264,1661,16.99999999999997,10.79207920792078,10.099999999999989,0,8
0,124.24587865670522,496751,242,1532,763,8.399999999999995,10.736633663366327,9.999999999999995,2,8
0,124.73032539685568,498569,243,1818,893,10.399999999999988,10.692079207920782,9.999999999999995,2,8
0,125.39013116757074,500899,244,2330,1153,12.69999999999998,10.74059405940593,10.099999999999989,2,8
0,126.28753588199615,504210,245,3311,1674,13.299999999999969,10.783168316831674,10.09999999999999,0,8
0,126.69559508562088,505898,246,1688,841,10.69999999999999,10.79999999999999,10.299999999999988,2,8
0,127.58520292838415,509280,247,3382,1677,25.00000000000007,10.949504950495038,10.299999999999992,0,8
0,128.31181971232095,512044,248,2764,1372,21.799999999999972,11.087128712871275,10.399999999999988,2,8
0,128.6798951903979,513503,249,1459,717,9.299999999999995,11.09306930693068,10.399999999999988,2,8
0,128.96388841072718,514605,250,1102,541,7.399999999999999,11.067326732673255,10.399999999999988,2,8
0,129.5391984820366,516804,251,2199,1071,5.1999999999999975,10.956435643564346,10.299999999999992,0,8
0,129.94167751868565,518477,252,1673,822,8.699999999999996,10.874257425742567,10.299999999999988,2,8
